session_time,lap,pos_x,pos_y,pos_z,speed,throttle,brake
1403.189208984375,14,-424.23504638671875,63.40934371948242,673.9930419921875,122,0.0,0.0
1403.205810546875,14,-423.96697998046875,63.41286087036133,674.4893798828125,121,0.0,0.0
1403.22265625,14,-423.69610595703125,63.41600799560547,674.9832153320312,121,0.0,0.0
1403.2392578125,14,-423.42218017578125,63.41883087158203,675.4744873046875,121,0.0,0.0
1403.2557373046875,14,-423.1450500488281,63.42131042480469,675.9630126953125,121,0.0,0.0
1403.2723388671875,14,-422.864501953125,63.423362731933594,676.4486083984375,121,0.0,0.0
1403.2890625,14,-422.58038330078125,63.4250373840332,676.9310913085938,121,0.0,0.0
1403.3056640625,14,-422.29254150390625,63.426368713378906,677.4102783203125,120,0.0,0.0
1403.3223876953125,14,-422.00091552734375,63.427242279052734,677.8861694335938,120,0.0,0.0
1403.33935546875,14,-421.7054138183594,63.42758560180664,678.3585815429688,120,0.0,0.0
1403.3564453125,14,-421.4059753417969,63.4273567199707,678.827392578125,120,0.0,0.0
1403.3731689453125,14,-421.1025085449219,63.426513671875,679.29248046875,120,0.0,0.0
1403.3900146484375,14,-420.7948913574219,63.425071716308594,679.7536010742188,119,0.0,0.0
1403.40673828125,14,-420.4830627441406,63.423072814941406,680.2106323242188,119,0.0,0.0
1403.42333984375,14,-420.16693115234375,63.42049789428711,680.6632690429688,119,0.0,0.0
1403.4400634765625,14,-419.84649658203125,63.41731262207031,681.1116943359375,119,0.0,0.0
1403.451416015625,14,-419.52178955078125,63.41347885131836,681.5555419921875,118,0.0,0.0
1403.46826171875,14,-419.1927795410156,63.4089469909668,681.9949951171875,118,0.0,0.0
1403.4852294921875,14,-418.8595275878906,63.4036865234375,682.4297485351562,118,0.0,0.0
1403.50732421875,14,-418.5220642089844,63.39765930175781,682.8597412109375,118,0.0,0.0
1403.5238037109375,14,-418.180419921875,63.39079284667969,683.284912109375,117,0.0,0.0
1403.5401611328125,14,-417.83465576171875,63.38299560546875,683.7051391601562,117,0.0,0.0
1403.556640625,14,-417.4848327636719,63.374210357666016,684.120361328125,117,0.0,0.0
1403.5731201171875,14,-417.13079833984375,63.364505767822266,684.5302124023438,117,0.0,0.0
1403.5897216796875,14,-416.7725524902344,63.353946685791016,684.9346313476562,116,0.0,0.0
1403.6063232421875,14,-416.4101257324219,63.342529296875,685.3334350585938,116,0.0,0.0
1403.622802734375,14,-416.04364013671875,63.33024978637695,685.7266235351562,116,0.0,0.0
1403.639404296875,14,-415.6730651855469,63.317108154296875,686.1140747070312,116,0.0,0.0
1403.656005859375,14,-415.2985534667969,63.30310821533203,686.4956665039062,115,0.0,0.0
1403.6722412109375,14,-414.92010498046875,63.28828048706055,686.8713989257812,115,0.0,0.0
1403.6888427734375,14,-414.53778076171875,63.27265930175781,687.2410278320312,115,0.0,0.0
1403.705322265625,14,-414.1517333984375,63.25621032714844,687.6045532226562,114,0.0,0.0
1403.7218017578125,14,-413.7620849609375,63.238868713378906,687.9618530273438,114,0.0,0.0
1403.739013671875,14,-413.3689880371094,63.22059631347656,688.3128662109375,114,0.0,0.0
1403.7510986328125,14,-412.9723815917969,63.201438903808594,688.6572875976562,113,0.0,0.0
1403.769775390625,14,-412.5723571777344,63.18146514892578,688.9951171875,113,0.0,0.0
1403.787353515625,14,-412.16888427734375,63.160682678222656,689.3263549804688,113,0.0,0.0
1403.8040771484375,14,-411.7621765136719,63.13909149169922,689.65087890625,112,0.0,0.0
1403.8209228515625,14,-411.3523254394531,63.11669921875,689.9685668945312,112,0.0,0.0
1403.838134765625,14,-410.9394226074219,63.0935173034668,690.2794189453125,111,0.0,0.0
1403.8553466796875,14,-410.5235290527344,63.069580078125,690.5833740234375,111,0.0,0.0
1403.8724365234375,14,-410.1047058105469,63.04494094848633,690.8803100585938,111,0.0,0.0
1403.88916015625,14,-409.6831359863281,63.019615173339844,691.170166015625,110,0.0,0.0
1403.90625,14,-409.25897216796875,62.99357604980469,691.4529418945312,110,0.0,0.0
1403.9229736328125,14,-408.8323669433594,62.9667854309082,691.7286987304688,110,0.0,0.0
1403.93994140625,14,-408.4034423828125,62.939208984375,691.9973754882812,109,0.0,0.0
1403.95703125,14,-407.97222900390625,62.91086959838867,692.2588500976562,109,0.0,0.0
1403.973876953125,14,-407.5389404296875,62.881778717041016,692.51318359375,108,0.0,0.0
1403.9908447265625,14,-407.1036071777344,62.85194396972656,692.7603759765625,108,0.0,0.0
1404.0078125,14,-406.6663513183594,62.821353912353516,693.0004272460938,108,0.0,0.0
1404.0194091796875,14,-406.2272644042969,62.790000915527344,693.2333374023438,107,0.0,0.0
1404.0367431640625,14,-405.7865295410156,62.757896423339844,693.4591064453125,107,0.0,0.0
1404.053955078125,14,-405.34417724609375,62.72505569458008,693.677734375,107,0.0,0.0
1404.0714111328125,14,-404.90032958984375,62.69151306152344,693.88916015625,106,0.0,0.0
