time,speed,throttle,brake,gear
1774799601.9564476,124,117,79,131
1774799601.9564505,124,117,79,131
1774799601.956453,124,117,79,131
1774799602.0059128,124,117,79,131
1774799602.0059292,124,117,79,131
1774799602.005933,124,117,79,131
1774799602.0059364,124,117,79,131
1774799602.0059388,124,117,79,131
1774799602.0059412,124,117,79,131
1774799602.0059435,124,117,79,131
1774799602.005952,124,117,79,131
1774799602.0059636,124,117,79,131
1774799602.0059686,124,117,79,131
1774799602.0059757,124,117,79,131
1774799602.0059865,124,117,79,131
1774799602.0609207,124,117,79,131
1774799602.0609415,124,117,79,131
1774799602.060946,124,117,79,131
1774799602.0609493,124,117,79,131
1774799602.0609524,124,117,79,131
1774799602.06096,124,117,79,131
1774799602.0609632,124,117,79,131
1774799602.1102488,124,117,79,131
1774799602.1102688,124,117,79,131
1774799602.1102781,124,117,79,131
1774799602.1102812,124,117,79,131
1774799602.1102843,124,117,79,131
1774799602.1102874,124,117,79,131
1774799602.1102903,124,117,79,131
1774799602.110293,124,117,79,131
1774799602.1590648,124,117,79,131
1774799602.1591296,124,117,79,131
1774799602.159137,124,117,79,131
1774799602.1591423,124,117,79,131
1774799602.159146,124,117,79,131
1774799602.1591496,124,117,79,131
1774799602.159154,124,117,79,131
1774799602.2081475,124,117,79,131
1774799602.2081647,124,117,79,131
1774799602.2081683,124,117,79,131
1774799602.208171,124,117,79,131
1774799602.2081733,124,117,79,131
1774799602.2081761,124,117,79,131
1774799602.2081788,124,117,79,131
1774799602.2081811,124,117,79,131
1774799602.25643,124,117,79,131
1774799602.2564547,124,117,79,131
1774799602.2564585,124,117,79,131
1774799602.2564619,124,117,79,131
1774799602.2564645,124,117,79,131
1774799602.2564666,124,117,79,131
1774799602.256469,124,117,79,131
1774799602.311421,124,117,79,131
1774799602.311506,124,117,79,131
1774799602.3115125,124,117,79,131
1774799602.3115168,124,117,79,131
1774799602.3115206,124,117,79,131
1774799602.3115244,124,117,79,131
1774799602.3115284,124,117,79,131
1774799602.311532,124,117,79,131
1774799602.359854,124,117,79,131
1774799602.3598707,124,117,79,131
1774799602.3598742,124,117,79,131
1774799602.359877,124,117,79,131
1774799602.3598795,124,117,79,131
1774799602.3598816,124,117,79,131
1774799602.3598845,124,117,79,131
1774799602.4088526,124,117,79,131
1774799602.4088726,124,117,79,131
1774799602.4088774,124,117,79,131
1774799602.4088805,124,117,79,131
1774799602.4088838,124,117,79,131
1774799602.4088867,124,117,79,131
1774799602.408904,124,117,79,131
1774799602.4089086,124,117,79,131
1774799602.457293,124,117,79,131
1774799602.4573114,124,117,79,131
1774799602.457323,124,117,79,131
1774799602.457327,124,117,79,131
1774799602.45733,124,117,79,131
1774799602.4573324,124,117,79,131
1774799602.4573352,124,117,79,131
1774799602.5059164,124,117,79,131
1774799602.5059328,124,117,79,131
1774799602.5059366,124,117,79,131
1774799602.5059395,124,117,79,131
1774799602.5059423,124,117,79,131
1774799602.5059454,124,117,79,131
1774799602.505952,124,117,79,131
1774799602.5059543,124,117,79,131
1774799602.5059571,124,117,79,131
1774799602.5059595,124,117,79,131
1774799602.5593688,124,117,79,131
1774799602.5593874,124,117,79,131
1774799602.559393,124,117,79,131
1774799602.559396,124,117,79,131
1774799602.559399,124,117,79,131
1774799602.5594013,124,117,79,131
1774799602.5594034,124,117,79,131
1774799602.6074915,124,117,79,131
1774799602.6075096,124,117,79,131
1774799602.6075137,124,117,79,131
1774799602.6075175,124,117,79,131
1774799602.6075203,124,117,79,131
1774799602.6075227,124,117,79,131
1774799602.6075258,124,117,79,131
1774799602.607529,124,117,79,131
1774799602.6607985,124,117,79,131
1774799602.6608217,124,117,79,131
1774799602.6608267,124,117,79,131
1774799602.6608295,124,117,79,131
1774799602.660832,124,117,79,131
1774799602.6608343,124,117,79,131
1774799602.6608367,124,117,79,131
1774799602.7091029,124,117,79,131
1774799602.709137,124,117,79,131
1774799602.7091424,124,117,79,131
1774799602.709148,124,117,79,131
1774799602.7091527,124,117,79,131
1774799602.7091572,124,117,79,131
1774799602.7091618,124,117,79,131
1774799602.709166,124,117,79,131
1774799602.7569723,124,117,79,131
1774799602.756993,124,117,79,131
1774799602.7569993,124,117,79,131
1774799602.7570033,124,117,79,131
1774799602.7570083,124,117,79,131
1774799602.7570136,124,117,79,131
1774799602.7570179,124,117,79,131
1774799602.8105702,124,117,79,131
1774799602.8105874,124,117,79,131
1774799602.8105912,124,117,79,131
1774799602.8105948,124,117,79,131
1774799602.8105974,124,117,79,131
1774799602.8106003,124,117,79,131
1774799602.8106024,124,117,79,131
1774799602.8106117,124,117,79,131
1774799602.8581798,124,117,79,131
1774799602.8582027,124,117,79,131
1774799602.8582115,124,117,79,131
1774799602.8582213,124,117,79,131
1774799602.8582244,124,117,79,131
1774799602.8582277,124,117,79,131
1774799602.8582306,124,117,79,131
1774799602.9108129,124,117,79,131
1774799602.9108381,124,117,79,131
1774799602.9108489,124,117,79,131
1774799602.9108524,124,117,79,131
1774799602.9108558,124,117,79,131
1774799602.9108584,124,117,79,131
1774799602.9108624,124,117,79,131
1774799602.9108655,124,117,79,131
1774799602.9584138,124,117,79,131
1774799602.9584348,124,117,79,131
1774799602.9584565,124,117,79,131
1774799602.958462,124,117,79,131
1774799602.9584658,124,117,79,131
1774799602.95847,124,117,79,131
1774799602.958473,124,117,79,131
1774799603.0120177,124,117,79,131
1774799603.012038,124,117,79,131
1774799603.0120451,124,117,79,131
1774799603.0120506,124,117,79,131
1774799603.0120554,124,117,79,131
1774799603.0120595,124,117,79,131
1774799603.012072,124,117,79,131
